,IdEstablecimiento,MS,Inscritos_suma_fonasa
271,200236,II,7.0
272,200265,II,23.0
273,200282,II,3.0
274,200304,II,568.0
275,200337,II,1671.0
276,200342,II,9.0
277,200346,II,157.0
278,200347,II,531.0
279,200360,II,847.0
280,200361,II,2626.0
281,200365,II,136.0
282,200377,II,1322.0
283,200385,II,267.0
284,200454,II,363.0
285,200554,II,87.0
286,200961,II,2338.0
287,200962,II,444.0
288,200965,II,4008.0
289,201091,II,5126.0
290,201112,II,9418.0
291,109300,IIIa,9512.0
292,109301,IIIa,5425.0
293,109302,IIIa,2817.0
294,109303,IIIa,3650.0
295,109304,IIIa,781.0
296,109305,IIIa,3031.0
297,109307,IIIa,2287.0
298,109308,IIIa,2319.0
299,109309,IIIa,2263.0
300,109310,IIIa,8209.0
301,109311,IIIa,7011.0
302,109312,IIIa,2241.0
303,109313,IIIa,5392.0
304,109314,IIIa,2140.0
305,109315,IIIa,4232.0
306,109316,IIIa,7786.0
307,109317,IIIa,1426.0
308,109320,IIIa,789.0
309,109321,IIIa,3226.0
310,109323,IIIa,2451.0
311,109324,IIIa,6394.0
312,109390,IIIa,2560.0
313,109407,IIIa,1238.0
314,109410,IIIa,44.0
315,109412,IIIa,76.0
316,109413,IIIa,88.0
317,109414,IIIa,317.0
318,109416,IIIa,4.0
319,109417,IIIa,9.0
320,109418,IIIa,11.0
321,109419,IIIa,12.0
322,109420,IIIa,13.0
323,109709,IIIa,534.0
324,109711,IIIa,976.0
325,109712,IIIa,1083.0
326,109713,IIIa,260.0
327,109715,IIIa,588.0
328,109716,IIIa,339.0
329,109718,IIIa,856.0
330,110160,IIIa,750.0
331,110308,IIIa,4264.0
332,110310,IIIa,2803.0
333,110315,IIIa,3971.0
334,110316,IIIa,3336.0
335,110320,IIIa,4337.0
336,110325,IIIa,3424.0
337,110330,IIIa,4322.0
338,110331,IIIa,2716.0
339,110335,IIIa,3366.0
340,110340,IIIa,3418.0
341,110345,IIIa,2991.0
342,110350,IIIa,5818.0
343,110351,IIIa,4446.0
344,110352,IIIa,3469.0
345,110353,IIIa,2984.0
346,110354,IIIa,4953.0
347,110355,IIIa,3409.0
348,110360,IIIa,6290.0
349,110361,IIIa,5584.0
350,110362,IIIa,3636.0
351,110364,IIIa,2254.0
352,110366,IIIa,6270.0
353,110369,IIIa,4682.0
354,110370,IIIa,3035.0
355,110375,IIIa,1735.0
356,110378,IIIa,2878.0
357,110379,IIIa,3501.0
358,110380,IIIa,1173.0
359,110381,IIIa,774.0
360,110385,IIIa,1023.0
361,110387,IIIa,1255.0
362,110390,IIIa,4836.0
363,110393,IIIa,585.0
364,110400,IIIa,67.0
365,110410,IIIa,26.0
366,110425,IIIa,1056.0
367,110430,IIIa,148.0
368,110431,IIIa,169.0
369,110432,IIIa,118.0
370,110440,IIIa,911.0
371,110445,IIIa,504.0
372,110455,IIIa,293.0
373,110465,IIIa,247.0
374,110470,IIIa,128.0
375,110475,IIIa,370.0
