IdEstablecimiento,Ano,Mes,Numerador,Denominador,MetaSanitaria
109310,2024.0,11.0,4.0,2.0,MSI
109311,2024.0,1.0,1.0,2.0,MSI
109311,2024.0,2.0,2.0,1.0,MSI
109311,2024.0,3.0,0.0,1.0,MSI
109311,2024.0,4.0,2.0,4.0,MSI
109311,2024.0,5.0,2.0,2.0,MSI
109311,2024.0,6.0,1.0,1.0,MSI
109311,2024.0,7.0,2.0,2.0,MSI
109311,2024.0,8.0,2.0,1.0,MSI
109311,2024.0,9.0,1.0,5.0,MSI
109311,2024.0,10.0,,2.0,MSI
109311,2024.0,11.0,0.0,2.0,MSI
109312,2024.0,1.0,1.0,,MSI
109312,2024.0,2.0,1.0,1.0,MSI
109312,2024.0,3.0,0.0,1.0,MSI
109312,2024.0,5.0,,0.0,MSI
109312,2024.0,6.0,1.0,1.0,MSI
109312,2024.0,7.0,,0.0,MSI
109312,2024.0,9.0,0.0,,MSI
109312,2024.0,10.0,,0.0,MSI
109312,2024.0,11.0,0.0,,MSI
109313,2024.0,1.0,1.0,1.0,MSI
109313,2024.0,2.0,1.0,,MSI
109313,2024.0,3.0,1.0,,MSI
109313,2024.0,5.0,1.0,0.0,MSI
109313,2024.0,6.0,,1.0,MSI
109313,2024.0,8.0,1.0,0.0,MSI
109313,2024.0,11.0,,0.0,MSI
109314,2024.0,1.0,1.0,2.0,MSI
109314,2024.0,2.0,0.0,3.0,MSI
109314,2024.0,3.0,0.0,2.0,MSI
109314,2024.0,4.0,3.0,6.0,MSI
109314,2024.0,5.0,1.0,4.0,MSI
109314,2024.0,6.0,3.0,2.0,MSI
109314,2024.0,7.0,4.0,2.0,MSI
109314,2024.0,8.0,2.0,1.0,MSI
109314,2024.0,9.0,2.0,2.0,MSI
109314,2024.0,10.0,2.0,0.0,MSI
109314,2024.0,11.0,2.0,1.0,MSI
109315,2024.0,1.0,1.0,2.0,MSI
109315,2024.0,2.0,2.0,3.0,MSI
109315,2024.0,3.0,3.0,1.0,MSI
109315,2024.0,4.0,1.0,3.0,MSI
109315,2024.0,5.0,2.0,1.0,MSI
109315,2024.0,6.0,1.0,1.0,MSI
109315,2024.0,7.0,2.0,1.0,MSI
109315,2024.0,8.0,1.0,1.0,MSI
109315,2024.0,9.0,3.0,,MSI
109315,2024.0,10.0,,1.0,MSI
109315,2024.0,11.0,1.0,4.0,MSI
109316,2024.0,1.0,1.0,3.0,MSI
109316,2024.0,2.0,1.0,1.0,MSI
109316,2024.0,3.0,,4.0,MSI
109316,2024.0,4.0,3.0,5.0,MSI
109316,2024.0,5.0,0.0,4.0,MSI
109316,2024.0,6.0,1.0,2.0,MSI
109316,2024.0,7.0,4.0,6.0,MSI
109316,2024.0,8.0,1.0,3.0,MSI
109316,2024.0,9.0,1.0,,MSI
109316,2024.0,10.0,3.0,1.0,MSI
109316,2024.0,11.0,2.0,3.0,MSI
109317,2024.0,1.0,0.0,0.0,MSI
109317,2024.0,2.0,,1.0,MSI
109317,2024.0,3.0,,2.0,MSI
109317,2024.0,4.0,0.0,2.0,MSI
109317,2024.0,5.0,0.0,0.0,MSI
109317,2024.0,6.0,,2.0,MSI
109317,2024.0,7.0,1.0,2.0,MSI
109317,2024.0,8.0,1.0,1.0,MSI
109317,2024.0,9.0,1.0,3.0,MSI
109317,2024.0,10.0,0.0,3.0,MSI
109317,2024.0,11.0,0.0,4.0,MSI
109320,2024.0,1.0,3.0,0.0,MSI
109320,2024.0,2.0,,0.0,MSI
109320,2024.0,3.0,0.0,1.0,MSI
109320,2024.0,4.0,0.0,1.0,MSI
109320,2024.0,5.0,0.0,1.0,MSI
109320,2024.0,6.0,1.0,2.0,MSI
109320,2024.0,7.0,0.0,1.0,MSI
109320,2024.0,8.0,,1.0,MSI
109320,2024.0,9.0,1.0,0.0,MSI
109320,2024.0,10.0,1.0,1.0,MSI
109320,2024.0,11.0,0.0,0.0,MSI
109321,2024.0,1.0,1.0,1.0,MSI
109321,2024.0,2.0,,2.0,MSI
109321,2024.0,3.0,0.0,2.0,MSI
109321,2024.0,4.0,2.0,3.0,MSI
109321,2024.0,5.0,1.0,0.0,MSI
109321,2024.0,6.0,0.0,1.0,MSI
109321,2024.0,7.0,1.0,0.0,MSI
109321,2024.0,8.0,2.0,2.0,MSI
109321,2024.0,9.0,3.0,,MSI
109321,2024.0,10.0,2.0,1.0,MSI
109321,2024.0,11.0,0.0,1.0,MSI
109323,2024.0,1.0,1.0,2.0,MSI
109323,2024.0,2.0,1.0,0.0,MSI
109323,2024.0,3.0,,1.0,MSI
109323,2024.0,4.0,,5.0,MSI
109323,2024.0,5.0,,3.0,MSI
109323,2024.0,6.0,4.0,3.0,MSI
109323,2024.0,7.0,0.0,2.0,MSI
109323,2024.0,8.0,3.0,1.0,MSI
109323,2024.0,9.0,3.0,1.0,MSI
109323,2024.0,10.0,1.0,2.0,MSI
109323,2024.0,11.0,0.0,0.0,MSI
109324,2024.0,1.0,2.0,1.0,MSI
109324,2024.0,2.0,2.0,0.0,MSI
109324,2024.0,3.0,3.0,2.0,MSI
109324,2024.0,4.0,,3.0,MSI
109324,2024.0,5.0,1.0,2.0,MSI
109324,2024.0,6.0,1.0,0.0,MSI
109324,2024.0,7.0,1.0,3.0,MSI
109324,2024.0,8.0,4.0,1.0,MSI
109324,2024.0,9.0,2.0,1.0,MSI
109324,2024.0,10.0,2.0,3.0,MSI
109324,2024.0,11.0,0.0,3.0,MSI
109390,2024.0,1.0,2.0,2.0,MSI
109390,2024.0,2.0,1.0,4.0,MSI
109390,2024.0,3.0,,0.0,MSI
109390,2024.0,4.0,3.0,3.0,MSI
109390,2024.0,5.0,1.0,4.0,MSI
109390,2024.0,6.0,2.0,2.0,MSI
109390,2024.0,7.0,2.0,0.0,MSI
109390,2024.0,8.0,3.0,,MSI
109390,2024.0,9.0,,2.0,MSI
109390,2024.0,10.0,3.0,5.0,MSI
109390,2024.0,11.0,1.0,1.0,MSI
109410,2024.0,4.0,,0.0,MSI
109413,2024.0,2.0,1.0,,MSI
109413,2024.0,10.0,,0.0,MSI
109414,2024.0,5.0,,1.0,MSI
109414,2024.0,7.0,,0.0,MSI
109414,2024.0,9.0,,1.0,MSI
109414,2024.0,10.0,,0.0,MSI
109414,2024.0,11.0,,0.0,MSI
109416,2024.0,11.0,,1.0,MSI
109417,2024.0,3.0,,1.0,MSI
109418,2024.0,2.0,,1.0,MSI
109418,2024.0,9.0,,1.0,MSI
109418,2024.0,10.0,,1.0,MSI
109419,2024.0,1.0,,0.0,MSI
109419,2024.0,7.0,,1.0,MSI
109709,2024.0,4.0,,0.0,MSI
109709,2024.0,5.0,1.0,1.0,MSI
109709,2024.0,6.0,0.0,0.0,MSI
109709,2024.0,7.0,0.0,1.0,MSI
109709,2024.0,8.0,0.0,1.0,MSI
109709,2024.0,10.0,4.0,0.0,MSI
109711,2024.0,1.0,0.0,0.0,MSI
109711,2024.0,4.0,,0.0,MSI
109711,2024.0,5.0,,1.0,MSI
109711,2024.0,6.0,,0.0,MSI
109711,2024.0,8.0,1.0,2.0,MSI
109711,2024.0,9.0,0.0,,MSI
109711,2024.0,10.0,0.0,0.0,MSI
109711,2024.0,11.0,2.0,,MSI
109712,2024.0,1.0,0.0,,MSI
109712,2024.0,2.0,,1.0,MSI
109712,2024.0,3.0,,0.0,MSI
109712,2024.0,5.0,1.0,0.0,MSI
109712,2024.0,6.0,,2.0,MSI
109712,2024.0,7.0,0.0,1.0,MSI
109712,2024.0,8.0,0.0,,MSI
109712,2024.0,9.0,2.0,0.0,MSI
109712,2024.0,10.0,1.0,,MSI
109712,2024.0,11.0,0.0,,MSI
109713,2024.0,4.0,,0.0,MSI
109715,2024.0,2.0,,1.0,MSI
109715,2024.0,4.0,1.0,,MSI
109715,2024.0,6.0,,1.0,MSI
109715,2024.0,7.0,,1.0,MSI
109715,2024.0,9.0,,1.0,MSI
109715,2024.0,10.0,1.0,,MSI
109716,2024.0,3.0,0.0,0.0,MSI
109718,2024.0,1.0,0.0,2.0,MSI
109718,2024.0,2.0,,0.0,MSI
109718,2024.0,3.0,,0.0,MSI
109718,2024.0,4.0,,0.0,MSI
109718,2024.0,6.0,0.0,,MSI
109718,2024.0,8.0,,0.0,MSI
109718,2024.0,10.0,,0.0,MSI
110160,2024.0,1.0,1.0,3.0,MSI
110160,2024.0,2.0,2.0,1.0,MSI
110160,2024.0,3.0,2.0,0.0,MSI
110160,2024.0,4.0,0.0,4.0,MSI
110160,2024.0,5.0,1.0,1.0,MSI
110160,2024.0,6.0,,1.0,MSI
110160,2024.0,7.0,1.0,1.0,MSI
110160,2024.0,8.0,3.0,2.0,MSI
110160,2024.0,9.0,0.0,2.0,MSI
110160,2024.0,10.0,0.0,2.0,MSI
110160,2024.0,11.0,,3.0,MSI
110308,2024.0,1.0,3.0,0.0,MSI
110308,2024.0,2.0,1.0,7.0,MSI
110308,2024.0,3.0,2.0,4.0,MSI
110308,2024.0,4.0,3.0,8.0,MSI
110308,2024.0,5.0,5.0,2.0,MSI
110308,2024.0,6.0,5.0,1.0,MSI
110308,2024.0,7.0,7.0,7.0,MSI
110308,2024.0,8.0,4.0,,MSI
110308,2024.0,9.0,3.0,2.0,MSI
110308,2024.0,10.0,4.0,3.0,MSI
110308,2024.0,11.0,0.0,1.0,MSI
110310,2024.0,1.0,,5.0,MSI
110310,2024.0,2.0,,5.0,MSI
110310,2024.0,3.0,0.0,8.0,MSI
110310,2024.0,4.0,,3.0,MSI
110310,2024.0,5.0,2.0,5.0,MSI
110310,2024.0,6.0,2.0,5.0,MSI
110310,2024.0,7.0,1.0,4.0,MSI
110310,2024.0,8.0,,2.0,MSI
110310,2024.0,9.0,1.0,0.0,MSI
110310,2024.0,10.0,1.0,6.0,MSI
110310,2024.0,11.0,2.0,1.0,MSI
110315,2024.0,1.0,1.0,2.0,MSI
110315,2024.0,2.0,2.0,4.0,MSI
110315,2024.0,3.0,2.0,3.0,MSI
110315,2024.0,4.0,,1.0,MSI
110315,2024.0,5.0,3.0,2.0,MSI
110315,2024.0,6.0,4.0,4.0,MSI
110315,2024.0,7.0,2.0,1.0,MSI
110315,2024.0,8.0,1.0,1.0,MSI
110315,2024.0,9.0,3.0,3.0,MSI
110315,2024.0,10.0,1.0,5.0,MSI
110315,2024.0,11.0,4.0,2.0,MSI
110316,2024.0,1.0,2.0,2.0,MSI
110316,2024.0,2.0,,0.0,MSI
110316,2024.0,3.0,2.0,0.0,MSI
110316,2024.0,4.0,,0.0,MSI
110316,2024.0,5.0,1.0,1.0,MSI
110316,2024.0,7.0,,1.0,MSI
110316,2024.0,8.0,0.0,0.0,MSI
110316,2024.0,10.0,2.0,1.0,MSI
110316,2024.0,11.0,0.0,1.0,MSI
110320,2024.0,1.0,3.0,3.0,MSI
110320,2024.0,2.0,0.0,1.0,MSI
110320,2024.0,3.0,,1.0,MSI
110320,2024.0,4.0,3.0,3.0,MSI
110320,2024.0,5.0,1.0,1.0,MSI
110320,2024.0,6.0,,1.0,MSI
110320,2024.0,7.0,,1.0,MSI
110320,2024.0,8.0,1.0,1.0,MSI
110320,2024.0,9.0,1.0,1.0,MSI
110320,2024.0,10.0,4.0,2.0,MSI
110320,2024.0,11.0,0.0,2.0,MSI
110325,2024.0,1.0,2.0,7.0,MSI
110325,2024.0,2.0,1.0,3.0,MSI
110325,2024.0,3.0,1.0,1.0,MSI
110325,2024.0,4.0,5.0,3.0,MSI
110325,2024.0,5.0,2.0,2.0,MSI
110325,2024.0,6.0,1.0,1.0,MSI
110325,2024.0,7.0,2.0,6.0,MSI
110325,2024.0,8.0,1.0,2.0,MSI
110325,2024.0,9.0,,1.0,MSI
110325,2024.0,10.0,9.0,2.0,MSI
110325,2024.0,11.0,1.0,1.0,MSI
110330,2024.0,1.0,1.0,1.0,MSI
110330,2024.0,2.0,2.0,4.0,MSI
110330,2024.0,3.0,,3.0,MSI
110330,2024.0,4.0,1.0,1.0,MSI
110330,2024.0,5.0,2.0,5.0,MSI
110330,2024.0,6.0,,1.0,MSI
110330,2024.0,7.0,2.0,3.0,MSI
110330,2024.0,8.0,2.0,6.0,MSI
110330,2024.0,9.0,6.0,1.0,MSI
110330,2024.0,10.0,2.0,2.0,MSI
110330,2024.0,11.0,3.0,1.0,MSI
110331,2024.0,1.0,0.0,4.0,MSI
110331,2024.0,2.0,2.0,2.0,MSI
110331,2024.0,3.0,,2.0,MSI
110331,2024.0,4.0,1.0,2.0,MSI
110331,2024.0,5.0,1.0,2.0,MSI
110331,2024.0,7.0,1.0,2.0,MSI
110331,2024.0,8.0,1.0,7.0,MSI
110331,2024.0,9.0,,3.0,MSI
110331,2024.0,10.0,7.0,6.0,MSI
110331,2024.0,11.0,3.0,3.0,MSI
110335,2024.0,1.0,2.0,9.0,MSI
110335,2024.0,2.0,1.0,6.0,MSI
110335,2024.0,3.0,3.0,5.0,MSI
110335,2024.0,4.0,8.0,5.0,MSI
